target_field,source_id,source_field_or_record,source_year_mapping,join_key,transformation,score_or_evidence_status,missing_value_rule,comparability_or_scope_limit
window_start,unga_ideal_points,UNGA year window,2017→2016; 2022→2021,target year,target year minus one,provenance,not applicable,Centered window includes a future year for each target.
window_end,unga_ideal_points,UNGA year window,2017→2018; 2022→2023,target year,target year plus one,provenance,not applicable,2022 window includes 2023.
p3_reviewed_candidate_literal_count,bis_federal_register_reviewed_subset,literal mention count in reviewed candidate records,rule/event years 2017 and 2022,reviewed rule + sample economy + year,reported only for the selected reviewed subset,evidence_only,Not a full-rule-universe denominator,Mention count is not legal applicability.
p3_bis_direct_increase_events_reviewed_subset,bis_federal_register_reviewed_subset,manually confirmed direct semiconductor-increase finding,rule/event years 2017 and 2022,reviewed rule + sample economy + year,count direct findings in reviewed subset,evidence_only,Zero is subset-bounded,Not an exhaustive BIS exposure count.
p3_bis_direct_increase_flag_reviewed_subset,bis_federal_register_reviewed_subset,direct event count > 0,2017 and 2022,country + year,binary summary of reviewed subset only,evidence_only_not_scored,Zero does not mean no wider exposure,P3 remains outside the score pending complete legal review.
p3_scope,bis_federal_register_reviewed_subset,review scope label,2017 and 2022,country + year,copied from reviewed-subset summary,provenance,Must identify non-exhaustive scope,Selected candidate rules only.
p3_scoring_status,bis_federal_register_reviewed_subset,scoring boundary,2017 and 2022,country + year,explicit evidence-only label,provenance,Must remain not scored,Not an index input.
p3_notes,bis_federal_register_reviewed_subset,manual review notes,reviewed rule/event year,country + year,copied from selected-rule table,evidence,Blank permitted if no note,Human-reviewed sample only.
p3_coverage_note,bis_federal_register_reviewed_subset,coverage limitation,2017 and 2022,country + year,fixed scope note attached to all rows,provenance,Must state selected subset,Zero hit is not proof of no exposure.
cdis_observation_year,imf_cdis_positions,reported observation year,2017→2017; 2022→2021,economy + observed year,retained separately from target year,provenance,No year interpolation,2022 target uses nearest supplied prior year.
cdis_observation_lag_years,imf_cdis_positions,target year - observation year,2017→0; 2022→1,target year + observation year,derived lag in years,provenance,Not applicable,"Lag is visible, never concealed."
cdis_sample_country_inward_from_china_usd_millions,imf_cdis_positions,sample reporter inward position; China immediate counterpart,2017 and 2021→2022,reporter ISO3 + year + direction + counterpart,retain USD millions as reported,context_only,Reported null remains null; no zero-fill,"Not semiconductor-specific; immediate counterpart, not ultimate owner."
cdis_china_outward_position_in_sample_country_usd_millions,imf_cdis_positions,China reporter outward position; sample economy immediate counterpart,2017 and 2021→2022,China reporter + counterpart ISO3 + year + direction,retain USD millions as reported,context_only,Reported null remains null; no zero-fill,Different reporting perspective; do not add/average with inward series.
cdis_inward_value_reported,imf_cdis_positions,inward position non-null flag,2017 and 2021→2022,same CDIS observation key,derived from reported value presence,coverage_flag,"False means not reported, not zero",Missingness explicitly exposed.
cdis_outward_value_reported,imf_cdis_positions,outward position non-null flag,2017 and 2021→2022,same CDIS observation key,derived from reported value presence,coverage_flag,"False means not reported, not zero",Missingness explicitly exposed.
cdis_any_direction_reported,imf_cdis_positions,either direction has reported value,2017 and 2021→2022,country + target year,OR of direction-specific value presence,coverage_flag,False means neither direction reported,Does not imply two-sided coverage.
cdis_coverage_note,imf_cdis_positions,source coverage note,2017 and 2021→2022,country + target year,retained from CDIS processor,provenance,Missing remains null,No 2022 CDIS file supplied.
cdis_direction_note,imf_cdis_positions,direction/ownership note,2017 and 2021→2022,country + target year,fixed reporting-asymmetry explanation,provenance,not applicable,Immediate counterpart only.
cdis_score_status,imf_cdis_positions,score status,2017 and 2022 target rows,country + target year,fixed non-scoring context label,provenance,Must remain non_scoring_context,Never enters GTRI calculation.
source_flag,derived_source_ledger,module source flags,per target row,country + year,deduplicated provenance labels joined with delimiter,provenance,Must contain scored-source identities,Not a substitute for the field-level map.
missing_flag,derived_missingness_audit,eight core index fields,per target row,country + year,lists missing core fields or `none`,quality_flag,Never overwrite nulls,Core completeness only.
context_missing_flag,derived_missingness_audit,CDIS inward/outward positions,per target row,country + year,lists not-reported directions,quality_flag,No missing context is imputed,Context gaps do not affect core score.
notes,derived_source_ledger,P2 coding note + CDIS lag note,per target row,country + year,concatenate relevant row-level caveats,provenance,Blank permitted when no special note,Retains material exceptions and lag.
